ID|TYPE|TRANSMIT POWER|STANDARD DEVIATION|DAGREE OF LOAD|ACTIVE LOSS TO TRANSMIT|ACTIVE LOSS|REACTIVE LOSS|ACTIVE LOSS TO LENGTH|TRANSMIT ACTIVE|TRANSMIT REACTIVE|CURRENT
1|LINE|2534.727438|0.000000|28.278755|2.304863|36.421573|-135.908098|0.005203|1580.205848|1829.186923|97.561705
11|LINE|565.535177|0.000000|12.616512|0.011562|0.040532|-1.300572|0.000531|350.551216|442.474056|22.078896
12|LINE|770.993581|0.000000|17.200079|0.067642|0.320595|-5.522662|0.000984|473.960017|602.511445|30.100139
13|LINE|589.710064|0.000000|13.155829|0.120851|0.430281|-12.886709|0.000569|356.043621|457.109286|23.022701
14|LINE|597.878827|0.000000|13.338066|0.111700|0.405726|-11.798585|0.000586|363.229521|463.000057|23.341615
5|TRANSFORMER|565.503404|0.000000|89.762445|1.645076|5.766155|30.456581|0.000000|350.509922|443.775726|0.000000
7|TRANSFORMER|770.740699|0.000000|96.342587|1.385416|6.561856|44.553092|0.000000|473.637862|608.036513|0.000000
8|TRANSFORMER|589.370550|0.000000|93.550881|1.748255|6.217012|33.081681|0.000000|355.612497|469.997232|0.000000
10|TRANSFORMER|597.557878|0.000000|94.850457|1.757386|6.376200|34.007183|0.000000|362.822941|474.799884|0.000000
101|LINE|120.470971|0.000000|52.506896|0.461374|0.347635|0.249574|0.015769|75.347719|93.999513|185.349343
102|LINE|120.933653|0.000000|52.708554|0.973833|0.737558|0.529517|0.015890|75.737642|94.279452|186.061197
103|LINE|168.083038|0.000000|73.258467|2.659885|2.918320|2.096615|0.030696|109.716015|127.333856|258.602387
105|LINE|99.024951|0.000000|44.417548|-3.759734|2.411858|1.730616|0.011284|-64.149704|-75.437103|156.793945
107|LINE|26.496436|0.000000|11.548389|1.203374|0.207066|0.144470|0.000763|17.207082|20.144457|40.765813
104|LINE|87.390026|0.000000|38.896836|1.355273|0.769763|0.552044|0.008653|56.797645|66.414302|137.305830
110|LINE|24.708743|0.000000|11.114819|0.220420|0.035329|0.024633|0.000707|16.027845|18.804289|39.235310
106|LINE|37.094800|0.000000|16.715060|-0.592094|0.142147|0.100829|0.001598|-24.007518|-28.278318|59.004162
201|LINE|240.429819|0.000000|92.990575|3.250540|4.862113|3.398980|0.063188|149.578604|188.234520|371.032394
203|LINE|145.969198|0.000000|56.456223|1.153570|1.056926|0.738367|0.023291|91.622244|113.631819|225.260331
205|LINE|122.534451|0.000000|47.392412|2.522936|2.080887|1.453076|0.016412|82.478779|90.617558|189.095724
207|LINE|106.435065|0.000000|41.165684|1.758957|1.257859|0.877918|0.012383|71.511642|78.830376|164.251078
209|LINE|111.390280|0.000000|44.897709|-5.953425|4.028006|2.812354|0.014730|-67.658639|-88.487869|179.141858
202|LINE|154.717605|0.000000|61.287954|2.229828|2.112012|1.475759|0.027448|94.716391|122.335722|244.538938
220|LINE|72.256973|0.000000|29.085254|0.362734|0.154540|0.107673|0.006182|42.604297|58.360061|116.050165
204|LINE|72.697099|0.000000|28.357497|1.240331|0.565160|0.393595|0.005876|45.565236|56.643533|113.146415
206|LINE|60.266549|0.000000|23.789810|0.984678|0.397789|0.276581|0.004136|40.397838|44.720542|94.921344
208|LINE|45.146813|0.000000|17.710295|0.838544|0.253691|0.175539|0.002292|30.253729|33.508509|70.664076
210|LINE|44.630704|0.000000|18.029793|-0.313161|0.086346|0.059798|0.002375|-27.572214|-35.095195|71.938876
211|LINE|22.094535|0.000000|8.915618|0.175514|0.021851|0.014674|0.000581|12.449705|18.252429|35.573318
301|LINE|187.483177|0.000000|81.986260|1.682572|1.983391|1.425139|0.038445|117.878525|145.788723|289.411498
303|LINE|121.431517|0.000000|53.101916|1.519232|1.157003|0.830680|0.016128|76.157097|94.580603|187.449764
304|LINE|122.495691|0.000000|53.567278|2.664541|2.053114|1.474102|0.016412|77.053206|95.224018|189.092493
305|LINE|124.520693|0.000000|55.787465|-3.426075|2.587640|1.858088|0.017800|-75.527838|-98.999741|196.929751
302|LINE|131.117745|0.000000|58.067013|1.150374|0.930596|0.668298|0.019285|80.895092|103.187644|204.976556
310|LINE|76.058639|0.000000|30.052334|0.733857|0.329975|0.229929|0.006599|44.964459|61.343385|119.908814
306|LINE|57.679795|0.000000|25.922134|-0.430330|0.152232|0.108836|0.003843|-35.375547|-45.557978|91.505135
307|LINE|9.057556|0.000000|4.065560|0.214135|0.009924|0.005517|0.000095|4.634429|7.780501|14.351426
401|LINE|121.688964|0.000000|53.244079|1.798842|1.373846|0.986375|0.016214|76.373938|94.736299|187.951597
402|LINE|120.914999|0.000000|52.905436|0.953277|0.721840|0.518243|0.016009|75.721933|94.268172|186.756189
403|LINE|219.494550|0.000000|96.038167|0.436160|0.601387|0.432186|0.052753|137.882265|170.781367|339.014730
405|LINE|102.206283|0.000000|45.634557|-2.724420|1.757682|1.261345|0.011911|-64.515825|-79.270628|161.089985
404|LINE|160.496218|0.000000|70.453110|0.887935|0.908188|0.652433|0.028390|102.280825|123.683231|248.699477
410|LINE|101.178214|0.000000|44.715625|0.861508|0.571805|0.410312|0.011436|66.372587|76.364845|157.846155
406|LINE|22.132800|0.000000|9.903739|-0.278483|0.040312|0.027864|0.000561|-14.475453|-16.742822|34.960199
407|LINE|58.254777|0.000000|25.921208|0.771367|0.276155|0.197421|0.003843|35.800761|45.954555|91.501863
