Node|Voltage
   1|null   
   2|44,566175 
   3|18,186500 
   4|29,566175 
  11|1,914451 
  21|15,000000 
  12|5,331160 
  13|9,483860 
  23|15,000000 
  14|7,844446 
 100|12,770575 
 200|0,782414 
 300|7,397843 
 400|4,509096 
 101|15,000000 
 102|15,000000 
 103|0,471231 
 104|0,512138 
 105|0,564900 
 106|0,400000 
 107|15,000000 
 201|0,501910 
 202|0,603819 
 203|0,256457 
 204|0,400000 
 205|0,454894 
 206|0,400000 
 207|0,382833 
 208|0,400000 
 209|0,700075 
 210|0,393132 
 211|0,400000 
 301|0,409690 
 302|0,392896 
 303|15,000000 
 304|15,000000 
 305|0,486565 
 306|0,219142 
 307|0,400000 
 401|15,000000 
 402|15,000000 
 403|0,187102 
 404|0,312136 
 405|0,538012 
 406|0,400000 
 407|0,400000 
