//Plik NODE (węzły sieci):
//Numer – unikalny numer węzła
//Typ – jeden węzeł o typie 4 (bilansujcy), pozostałe – typ = 1
//Moc czynna – moc czynna odbierana w węźle [kW]
//Moc bierna – moc bierna odbierana w węźle (również moc baterii kondensatorów) [kVar]
//Odchylenie moc czynnej = 0
//Odchylenie mocy biernej = 0
//Napiecie – napięcie znamionowe węzła sieci
Numer|Typ|Moc czynna|Moc bierna|Odchylenie moc czynnej|Odchylenie mocy biernej|Napiecie
1|4|0|0|0|0|15
2|1|0|0|0|0|15
3|1|0|0|0|0|15
4|1|0|0|0|0|15
11|1|0|0|0|0|15
21|1|0|0|0|0|15
12|1|0|0|0|0|15
13|1|0|0|0|0|15
23|1|0|0|0|0|15
14|1|0|0|0|0|15
100|1|0|0|0|0|15
200|1|0|0|0|0|15
300|1|0|0|0|0|15
400|1|0|0|0|0|15
101|1|75|93.75|0|0|0.4
102|1|75|93.75|0|0|0.4
103|1|50|58.823|0|0|0.4
104|1|40|47.058|0|0|0.4
105|1|40|47.058|0|0|0.4
106|1|40|47.058|0|0|0.4
107|1|17|20|0|0|0.4
201|1|50|62.5|0|0|0.4
202|1|50|62.5|0|0|0.4
203|1|45|56.25|0|0|0.4
204|1|45|56.25|0|0|0.4
205|1|40|44.444|0|0|0.4
206|1|40|44.444|0|0|0.4
207|1|40|44.444|0|0|0.4
208|1|30|33.333|0|0|0.4
209|1|40|53.333|0|0|0.4
210|1|40|53.333|0|0|0.4
211|1|30|40|0|0|0.4
301|1|35|41.176|0|0|0.4
302|1|35|41.176|0|0|0.4
303|1|75|93.75|0|0|0.4
304|1|75|93.75|0|0|0.4
305|1|40|53.333|0|0|0.4
306|1|40|53.333|0|0|0.4
307|1|40|53.333|0|0|0.4
401|1|75|93.75|0|0|0.4
402|1|75|93.75|0|0|0.4
403|1|35|46.666|0|0|0.4
404|1|35|46.666|0|0|0.4
405|1|50|62.5|0|0|0.4
406|1|50|62.5|0|0|0.4
407|1|30|30|0|0|0.4
