ID|TYPE|TRANSMIT POWER
501|LINE|null|
502|LINE|null|
1|LINE|null|
2|LINE|null|
11|LINE|null|
12|LINE|null|
13|LINE|null|
14|LINE|null|
21|LINE|null|
23|LINE|null|
5|TRANSFORMER|null|
6|TRANSFORMER|null|
7|TRANSFORMER|null|
8|TRANSFORMER|null|
9|TRANSFORMER|null|
10|TRANSFORMER|null|
101|LINE|null|
102|LINE|null|
103|LINE|null|
104|LINE|null|
105|LINE|null|
106|LINE|null|
107|LINE|null|
110|LINE|null|
201|LINE|null|
202|LINE|null|
203|LINE|null|
204|LINE|null|
205|LINE|null|
206|LINE|null|
207|LINE|null|
208|LINE|null|
209|LINE|null|
210|LINE|null|
211|LINE|null|
220|LINE|null|
301|LINE|null|
302|LINE|null|
303|LINE|null|
304|LINE|null|
305|LINE|null|
306|LINE|null|
307|LINE|null|
310|LINE|null|
401|LINE|null|
402|LINE|null|
403|LINE|null|
404|LINE|null|
405|LINE|null|
406|LINE|null|
407|LINE|null|
410|LINE|null|
